
2023/09/02 (00:40:51) | ===> btop++ v.1.2.13
2023/09/02 (00:40:51) | INFO: Logger set to INFO

2023/10/02 (00:19:40) | ===> btop++ v.1.2.13
2023/10/02 (00:19:40) | ERROR: Stall in Runner thread, restarting!
2023/10/02 (00:19:46) | ERROR: Stall in Runner thread, restarting!
2023/10/02 (00:19:51) | ERROR: Stall in Runner thread, restarting!
2023/10/02 (00:19:57) | ERROR: Stall in Runner thread, restarting!
2023/10/02 (00:20:02) | ERROR: Stall in Runner thread, restarting!
2023/10/02 (00:20:08) | ERROR: Stall in Runner thread, restarting!

2024/08/01 (23:36:37) | ===> btop++ v.1.3.2
2024/08/01 (23:36:37) | ERROR: Stall in Runner thread, restarting!

2024/08/01 (23:36:37) | ===> btop++ v.1.3.2
2024/08/01 (23:36:37) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:43) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:43) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:48) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:48) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:54) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:54) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:59) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:36:59) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:05) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:05) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:10) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:10) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:16) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:16) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:21) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:21) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:27) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:27) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:32) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:32) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:38) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:38) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/01 (23:37:41) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/01 (23:37:41) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/01 (23:37:43) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:49) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:37:54) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:38:00) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:38:05) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:38:11) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:38:16) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:38:22) | ERROR: Stall in Runner thread, restarting!
2024/08/01 (23:38:26) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/01 (23:38:26) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/01 (23:38:26) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
